/		CG-6 Survey																					
/		Survey Name:	ENDUT_11																				
/		Instrument Serial Number:	21010311																				
/		Created:	08/04/2021 00:53																				
/																							
/		CG-6 Calibration																					
/		Operator:	ROBBY																				
/		Gcal1 [mGal]:	8178.449																				
/		Goff [ADU]:	-8388608																				
/		Gref [mGal]:	0																				
/		X Scale [arc-sec/ADU]:	0.030973																				
/		Y Scale [arc-sec/ADU]:	0.031031																				
/		X Offset [ADU]:	-273519																				
/		Y Offset [ADU]:	-173957																				
/		Temperature Coefficient [mGal/mK]:	-0.132																				
/		Temperature Scale [mK/ADU]:	-0.000111																				
/		Drift Rate [mGal/day]:	-0.12113																				
/		Drift Zero Time:	01/01/1970 00:00																				
/		Firmware Version:	CG6_2_20190125																				
/																							
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
GE199	08/04/2021	07:02:28	4411.3674	0	0.0186	0.0024	2142.9876	-5.2	3.3	1.4282	-0.0057	0.0005	0.1894	2268.1955	60	0	-6.612072	106.335846	871.7	-6.612153	106.335388	841.6	11011
GE199	08/04/2021	07:03:28	4411.3657	0	0.0222	0.0029	2142.9866	-5.2	3.1	1.4378	-0.0065	0.0004	0.1897	2268.1956	60	0	-6.612072	106.335846	871.7	-6.612173	106.335388	841	11011
GE199	08/04/2021	07:04:28	4411.3645	0	0.0201	0.0026	2142.9861	-5.1	1.4	1.4418	-0.0073	0.0004	0.1896	2268.1957	60	0	-6.612072	106.335846	871.7	-6.612143	106.335365	840.8	11011
GE199	08/04/2021	07:05:28	4411.3671	0	0.0206	0.0027	2142.9895	-4.7	0.5	1.4327	-0.0081	0.0003	0.1897	2268.1957	60	0	-6.612072	106.335846	871.7	-6.612129	106.335388	841.3	11011
GE199	08/04/2021	07:06:28	4411.3647	0	0.0203	0.0026	2142.9878	-4.7	0.3	1.4412	-0.009	0.0003	0.1898	2268.1958	60	0	-6.612072	106.335846	871.7	-6.612136	106.335388	840.7	11011
BASE	08/04/2021	09:22:10	4495.9338	0	0.0167	0.0022	2227.6017	1.6	-0.3	1.4702	-0.069	0.0001	0.1938	2268.2072	60	0	-6.612072	106.335846	871.7	-6.620147	106.304184	40	11011
BASE	08/04/2021	09:23:10	4495.9339	0	0.013	0.0017	2227.602	0.4	-1.1	1.4653	-0.069	0	0.1935	2268.2073	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:24:10	4495.9349	0	0.0194	0.0025	2227.603	0.7	0.1	1.4627	-0.0689	0	0.1933	2268.2074	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:25:10	4495.9363	0	0.019	0.0025	2227.6046	0.4	-0.2	1.4592	-0.0689	0	0.1931	2268.2075	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:26:10	4495.9356	0	0.0171	0.0022	2227.6042	0.6	-0.9	1.4586	-0.0689	0.0001	0.1927	2268.2076	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:29:43	4495.9363	0	0.0189	0.0024	2227.6043	2.3	0.6	1.458	-0.0686	0.0001	0.1926	2268.2079	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:30:43	4495.9352	0	0.0183	0.0024	2227.6033	1.7	1.1	1.4626	-0.0685	0.0001	0.1924	2268.208	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:31:43	4495.9359	0	0.0151	0.002	2227.6038	1.3	0.6	1.4557	-0.0684	0.0001	0.1925	2268.2081	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:32:43	4495.9363	0	0.0175	0.0023	2227.6041	1.2	0.1	1.4601	-0.0683	0	0.1923	2268.2081	60	0	-6.612072	106.335846	871.7	--	--	--	11011
BASE	08/04/2021	09:33:43	4495.9369	0	0.0144	0.0019	2227.6047	1.5	-1.2	1.4563	-0.0682	0.0001	0.1922	2268.2082	60	0	-6.612072	106.335846	871.7	--	--	--	11011
